Date,Site,Longitude,Latitude,Climate_region_of_UK,LCM_land_cover,Elevation,Slope,Aspect,Soil_type,Air_temperature_C,Relative_humidity_%,Wind_speed_m/s,EOBS_air_temperature_24h_mean_C,EOBS_24h_precipitation_mm/day,No_days_since_precipitation,Fuel_type,Species_name,Time_collected,FMC_%,2m_air_temperature_24h_mean_K,2m_air_temperature_24h_max_K,2m_dewpoint_temperature_24h_mean_K,10m_wind_speed_24h_mean_m/s,Vapour_pressure_24h_mean_hPa,2m_relative_humidity_6h_%,2m_relative_humidity_9h_%,2m_relative_humidity_12h_%,2m_relative_humidity_15h_%,Precipitation_24h_sum_mm/day,Precipitation_sum_3_days_before_mm/day,Precipitation_sum_1_week_before_mm/day,Precipitation_sum_4_weeks_before_mm/day,Precipitation_sum_12_weeks_before_mm/day,IGBP_land_cover_ID,IGBP_land_cover,Outlier_removed
01/11/2021,Stanta AG23,0.74103,52.498892,East Anglia,Acid Grassland,30,0.62120957,254.4332847,23,12.6,61.7,2.2,10.24999977,0,1,Bracken dead stem,Pteridium aquilinum,1200,120.7362283,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta AG23,0.74103,52.498892,East Anglia,Acid Grassland,30,0.62120957,254.4332847,23,12.6,61.7,2.2,10.24999977,0,1,Bracken dead leaves,Pteridium aquilinum,1200,17.6035337,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta AG3,0.73881,52.535397,East Anglia,Acid Grassland,30,0.739300307,234.1068551,3,13.2,60.5,2.3,9.909999778,0,1,Bracken live leaves,Pteridium aquilinum,1300,181.686375,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta AG11,0.73407,52.509294,East Anglia,Acid Grassland,42,1.179571482,163.9334276,11,13.2,60,0.6,9.909999778,0,1,Gorse live canopy,Ulex europaeus,1300,170.8117944,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta H3,0.75539,52.540589,East Anglia,Heathland,41,1.21976305,169.7148132,3,12.9,63.3,1.3,9.909999778,0,1,Heather live canopy,Calluna vulgaris,1300,62.9672346,281.663147,285.0812378,277.6655579,5.573018074,8.457767487,78.33846283,76.08872223,63.14474106,67.26560974,0.270000011,11.06000006,13.58000005,84.63999942,213.6899989,9,Savanna,N
01/11/2021,Stanta AG11,0.73407,52.509294,East Anglia,Acid Grassland,42,1.179571482,163.9334276,11,13.2,60,0.6,9.909999778,0,1,Bracken dead leaves,Pteridium aquilinum,1300,20.7079609,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta AG3,0.73881,52.535397,East Anglia,Acid Grassland,30,0.739300307,234.1068551,3,13.2,60.5,2.3,9.909999778,0,1,Gorse dead stem,Ulex europaeus,1300,17.9404124,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta AG11,0.73407,52.509294,East Anglia,Acid Grassland,42,1.179571482,163.9334276,11,13.2,60,0.6,9.909999778,0,1,Gorse dead stem,Ulex europaeus,1300,28.9864708,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta AG3,0.73881,52.535397,East Anglia,Acid Grassland,30,0.739300307,234.1068551,3,13.2,60.5,2.3,9.909999778,0,1,Litter,NA,1300,39.0950605,281.6835327,285.1448975,277.8299561,5.466028214,8.573142052,79.50467682,75.24497223,62.40539932,68.34864044,0.579999983,12.38,14.81000011,80.00000122,204.1100012,9,Savanna,N
01/11/2021,Stanta H3,0.75539,52.540589,East Anglia,Heathland,41,1.21976305,169.7148132,3,12.9,63.3,1.3,9.909999778,0,1,Heather dead canopy,Calluna vulgaris,1300,16.8373637,281.663147,285.0812378,277.6655579,5.573018074,8.457767487,78.33846283,76.08872223,63.14474106,67.26560974,0.270000011,11.06000006,13.58000005,84.63999942,213.6899989,9,Savanna,N
